"question","answer"
" چرا نمی توان یک سرفصل مالی را حذف کرد؟ " , "􈢠در چهار حالت نمی‌توان یک حساب را حذف کرد: حساب دارای زیرمجموعه باشد.حساب در رویداد مالی شرکت کرده باشد.حساب در مجموعه حسابهای خاصی عضویت داشته باشد.از حساب مربوطه در سیستم‌های دیگر به عنوان حساب مرتبط استفاده شده باشد (مثلا حساب مرتبط یا انبار) * "
" چرا نمی توانم به سیستم وارد شوم؟ " , "􈢠بنا به یکی از دلایل ذیل کاربر نمی تواند وارد سیستم شود: نام کاربری و یا کلمه عبور نامعتبر عدم تطبیق وضعیت خاص کلیدها حین تعیین کلمه عبور(Caps Lock,NumLock)عدم تطبیق keyboard layout‌ حین تعیین کلمه عبور با زمانیکه کاربر قصد ورود به سیستم را دارد. "
"آیا می‌توان کلمه عبور مدیر سیستم را که بنا به دلایلی در دسترس نیست، عوض کرد؟ " , "􈨯ر صورتی که کلمه عبور مدیر سیستم به دلایلی (ترک کار مدیر سیستم، فراموشی و ...) مفقود شده باشد، می‌توان از طریق SQL Server Management در جدول __Enroll__ فیلد Password1 در مورد کاربر با Id=1 را پاک کرد. به این ترتیب مدیر سیستم بدون کلمه رمز می‌تواند وارد و رمز جدید برای خود تعیین کند. 🟤نکته: توجه داشته باشید این کار در شرایط بسیار خاص و با هماهنگی کامل با مدیریت سایت خریدار و مدیریت پشتیبانی (مدیر گروه) انجام خواهد شد. "
" آیا می‌توان از تغییر شماره حکم و تاریخ صدور توسط کاربر جلوگیری کرد؟ " , "􈠠مدیر سیستم می‌تواند با تنظیم دسترسی گروه کاری در قسمت صدور حکم کارگزینی (تنظیمِ شماره 35) امکان تغییر شماره حکم و تاریخ صدور را به تفکیک از کاربر سلب نماید. 🟤نکته: این امکان برای کنترل‌های داخلی مفید است. "
" آیا می‌توان از تخصیص پست با متصدی به پرسنل دیگر جلوگیری کرد؟ " , "􈠠اصولا تخصیص پستی که متصدی (پرسنلی که پست به او منتسب شده است) دارد، مطابق با قواعد معمول اداری، عمل درستی نیست و سیستم در حالت عادی با پیامی حین ورود اطلاعات پرسنلی جدید، کاربر را از این وضعیت اگاه می‌نماید با این وجود اجازه می‌دهد که پست به چند پرسنل نیز تخصیص یابد ولی مدیر سیستم در قسمت تنظیمات مرتبط با گروه کاری (تنظیمِ شماره 14 در AG1 و تنظیم در پیکربندیِ کارگزینی، قسمت اطلاعاتِ پرسنلی در AG3) می‌تواند به طور اکید و با فعال کردن "جلوگیری از تخصیص پست با متصدی به پرسنل دیگر" از این عمل جلوگیری نماید. "
"  آیا می توان یک دوره مالی را به طور کامل حذف کرد؟ " , "􈢠حذف دوره مالی از امکاناتی است که به علت حذف تمامی محتوای دوره مالی انتخاب شده می‌تواند کلیه اسناد مالی و فاکتورها و ... یک شرکت را حذف کند. لذا حذف دوره مالی در مواقعی که دوره مالی مورد نظر دارای هرگونه سند و کالا باشد با کلید حذف در فرم و روش‌های متداول حذف امکان‌پذیر نیست. در مواقع ضروری و پس از گرفتن نسخه پشتیبان می‌توان با کلید Shift+Delete و یا نگهداشتن Ctrl و فشردن دکمه "حذف" دوره مالی را به حالت حذف موقت علامتگذاری کرده و با نگهداشتن همزمان کلیدهای Ctrl+D آنرا حذف قطعی نمود. واضح است که اگر دوره مالی جدید ایجاد شده و حاوی هیچگونه عملیاتی نباشد براحتی با روش‌های متداول قابل حذف خواهد بود. 🟤 نکته: از آنجاییکه استفاده از این امکان باعث حذف تمامی اطلاعات موجود در دوره مالی می‌شود نباید به کاربران سیستم آموزش داده شود و مقتضی ست تنها توسط پرسنل پیوست و با دقت، پس از تهیه نسخه پشتیبان و سایر ملاحظات انجام گیرد. "
" آیا می توان معادل میلادی تاریخ شمسی در کنترل‌های تاریخ را مشاهده نمود؟ " , "􈠠سیستم با استفاده از کلید ترکیبی Ctrl+Shift+Space در کنترل‎های تاریخ، معادل میلادی تاریخ واردشده را نمایش می‌دهد.  این امکان برای مواقعی مناسب است که کارشناسان پشتیبانی در پی حل مشکلی نیاز به معادل میلادی تاریخ دارند. زیرا تمامی تاریخ‌های سیستم به صورت میلادی ذخیره و پروسس می‌شود. "
" شرح پارامتریک به چه مفهوم است و چگونه آنرا تعریف می کنیم؟ " , "􈠠شرح پارامتریک به مفهوم متنی است که بخشی از آن ثابت و بخش دیگری از آن بر حسب مشخصات شخصی و سازمانی پرسنل متغیر می باشد. مثلا اگر شرح حکمی به صورت ساده "با توجه به ارتقاء گروه شما به [گروه موثر] حکم جدید ابلاغ می شود" باشد، این شرح بر حسب گروه موثر پرسنل تفسیر خواهد شد. برای تعریف شرح پارامتریک متن شرح نوشته و هر قسمت که بایستی پارامتری درج شود از کلید F4 استفاده می شود. سیستم کلیه پارامترهای قابل درج را در قسمت ویرایش شرح نمایش داده و می توان پارامتر مورد نظر را انتخاب و شرح را تکمیل کرد. "
" چگونه می توان تنظیمات نمایشی فرمها را برای کاربر خاص به حالت پیش فرض برگرداند؟ " , "􈨯ر CM فرم مدیریت کاربران و با استفاده از منو آیتم "حذف کردن کلیه تنظیمات فرم‌ها" می‌توان این تنظیمات (شامل موقعیت فرم، اندازه فرم و پهنای سرستون‌های لیست فرم) را به حالت اولیه برگرداند. این امکان در موقعیت‌های زیر کاربرد دارد:  کاربر مدعی است برخی از کنترلها در صفحه دیده نمی شوند (به جهت resolution) صفر شدن یک ستون (مخفی شدن ستون) تغییرات مرتبط با extended screen‌ یکی از فرم ها به طور کلی نمایش داده نمی شود "
" آیا مدیر سیستم می تواند کلمه عبور کاربر را حذف نماید؟ " , "􈢠در مواقعی که کاربر کلمه عبور خود را فراموش کرده است، می تواند از مدیر سیستم درخواست کند تا با استفاده از حق انحصاری خود کلمه عبور او را حذف نماید تا کاربر بتواند وارد سیستم شده و کلمه عبور جدیدی برای خود تنظیم کند. این امکان در CM‌ فرم مدیریت کاربران تحت عنوان "حذف کردن کلمه عبور" قرار دارد. "
" چه اطلاعاتی قابل درج در فیش حقوقی پرسنل می‌باشد؟ " , "􈠠0-تاریخ پرداخت؛ 1- کد پرسنلی؛ 2- نام؛ 3- نام خانوادگی ؛ 4- نام پدر؛ 5- ماه پرداخت؛ 6- سال پرداخت؛ 7- شماره حساب؛ 8- محل پرداخت؛ 9- خالص پرداختی؛ 10- جمع مزایا؛ 11- جمع کسور؛ 12- خالص پرداختی در سال؛ 13- محل خدمت؛ 14- شماره بیمه؛ 15- شماره پرونده؛ 16- مانده مرخصی (روز و ساعت)؛ 17- نام و نام خانوادگی (باهم)؛ 18-کدملی؛ 19- واحد سازمانی؛ 20- شغل؛ 21- جمع درآمد در سال؛ 22- جمع پس انداز در سال؛ 23- نوع استخدام؛ 24-جمع درآمد مشمول مالیات؛ 25- جمع درآمد بیمه پذیر؛ 26- مرکز هزینه؛ 27- شناسنامه کار؛ 28- شماره حساب دوم؛ 29- ویژگی یازدهم؛ 30- ویژگی دوازدهم؛ 31- ویژگی سیزدهم؛ 32- ویژگی چهاردهم؛ 33- ویژگی اول؛ 34- ویژگی دوم؛ 35- ویژگی سوم؛ 36- ویژگی چهارم؛ 37- ویژگی پنجم؛ 38- ویژگی ششم؛ 39- ویژگی هفتم؛ 40- ویژگی هشتم؛ 41-ویژگی نهم 42- ویژگی دهم؛ 43- چمع مزایای نقدی؛ 44- تعداد عوامل مطابق حکم؛ 45- جمع اقساط وام‌ها؛ 46- مسیر تصویر پرسنل؛ 47- تاریخ شروع به کار؛ 48- شماره شناسنامه؛ 49- تاریخ تولد؛ 50- محل تولد؛ 51- مانده مرخصی به صورت عدد اعشاری؛ 52- عنوان پست سازمانی. "
